17/03/01 1:30
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	4033	17742	    100614	    114407	   49	
未翻訳：        	 910	 5004	     27313	     31498	    9	
繰り返しを除いた：   	3176	14802	     83315	     95010	   48	
繰り返しを除いた未翻訳：	 736	 4268	     23228	     26856	    8	


ファイルごとの翻訳状況：

ファイル名                                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Warehousing_0.0.11.cfg                  	     39	     0	         13	             0	     87	     0	         29	             0	           697	            0	               222	                    0	           745	            0	               238	                    0	
additional-turret_0.1.1.cfg             	     81	     0	         74	             0	    357	     0	        338	             0	          2023	            0	              1920	                    0	          2304	            0	              2189	                    0	
blueprint-string_4.0.0.cfg              	     18	     0	         18	             0	     91	     0	         91	             0	           486	            0	               486	                    0	           556	            0	               556	                    0	
air-filtering_0.4.3.cfg                 	     12	     0	         11	             0	     40	     0	         36	             0	           200	            0	               180	                    0	           228	            0	               205	                    0	
Aircraft_1.2.0.cfg                      	     48	     0	         37	             0	    240	     0	        210	             0	          1394	            0	              1219	                    0	          1586	            0	              1392	                    0	
reverse-factory_3.3.8.cfg               	      6	     0	          3	             0	     63	     0	         54	             0	           339	            0	               270	                    0	           396	            0	               321	                    0	
SimpleSaplings_0.14.4.cfg               	      4	     0	          3	             0	     10	     0	          9	             0	            51	            0	                44	                    0	            57	            0	                50	                    0	
StickyNotes_2.1.1.cfg                   	     26	    24	         23	            21	    149	   144	        144	           139	           675	          650	               650	                  625	           797	          769	               770	                  742	
StickyNotes_2.1.3.cfg                   	     26	     0	          0	             0	    149	     0	          0	             0	           675	            0	                 0	                    0	           797	            0	                 0	                    0	
color-picker_0.2.1.cfg                  	      2	     0	          2	             0	      3	     0	          3	             0	            21	            0	                21	                    0	            24	            0	                24	                    0	
Additional-Turret_0.1.3.cfg             	     96	     0	         21	             0	    462	     0	        169	             0	          2562	            0	               873	                    0	          2934	            0	              1025	                    0	
Personal_Spawns_0.14.2.cfg              	      5	     0	          4	             0	     15	     0	         13	             0	            82	            0	                69	                    0	            92	            0	                78	                    0	
